created_at,is_verified,text,username
1490277397,False,Sabía que era Bárbara @realbarbarapalvin 💭💭💭💜💜💜,mariaaa_176
1490277928,False,Pretty!,vilmasuyaparodasflores
1490278292,False,@naadinekhaled it feels that u don't need to put anyth,_gannaamounir
1490278297,False,@naadinekhaled naturally,_gannaamounir
1490278626,False,yes bbg @_gannaamounir,naadinekhaled
1490278673,False,Belle,krisranieri
1490279218,False,Love that colour,leahdaleahmua
1490283645,False,👌👌,alco.creation
1490284030,False,🔥🔥💕,brandedplacefor_everyone
1490286600,False,@yukta_taneja @tarisha03 this colour😍,tholiatarisha
1490288883,False,"natural lips, natural colors, natural make up 👏🏻👏🏻👏🏻👏🏻 i dont wanna see fake faces anymore",linaahourieh
1490289351,False,La couleur j'adore 💋😍😍😍,luniversdetais
1490289961,False,Beautiful👌👍😍😍❤❤❤,laylarafat
1490291227,False,No way. This color is perfect!!!😍😍,clsmemories
1490292004,False,Beautiful,mahafatimamua
1490294337,False,jadore,lili_breizh_
1490296427,False,😍,a._.y._.a._h
1490313631,False,@phillylaverick lush!!!,lynsey_brannan
1490316418,False,Q tono es quiero 10 😱😱😱,meligreis_90
1490252100,False,@flore_avril j'ai pris la ref ✅,anneso_prs
1490252573,False,@khouloud.jebari,dekra_jb
1490254616,False,Love this  shade,babar010
1490255052,False,❤,etrebelle.pl
1490256365,False,Cute 💜,modell_chubby_cheek
1490257014,False,👌👌👌👌,lllupo
1490258447,False,@hashemimaryam558 vy kheili rangesh khoshkele bayad berim khariiid hatmn🙃😜,maedeh_prn
1490259115,False,So sweet & pretty!!,jmjourneytobeauty
1490260511,False,@dinhhoangthanhhang,gh_libra
1490263280,False,😍😍😍,bela_yt
1490263461,False,Is it available in india,medhanshi
1490265950,False,@medhanshi not yet,pamsinstagrm
1490266381,False,@pamsinstagrm so how can i get it,medhanshi
1490266741,False,Love this colour! 🌸🌸,christina_xo_marie
1490267685,False,#lovecampaign,lovecampaign2017
1490268006,False,Availabe in pakiatan??,warda_tariq.sheikh
1490268919,False,👍🏻👍🏻👍🏻🌈🌈🌈,andria_konnaris
1490271774,False,Lawa x? @ankhlda,naa_amalina
1490272206,False,@naa_amalina lawa,ankhlda
1490277128,False,allaaahhh @_gannaamounir,naadinekhaled
1490244552,False,Cuuute,a_hopehope
1490244598,False,Are they sold in Japan?,a_hopehope
1490245591,False,@lorealmakeup how to buy this lipstick?,tiamo.quynhanh
1490245786,False,@hashemimaryam558 in hamun rangi nis k mikhasti?🤔,maedeh_prn
1490246537,False,Beautiful,jass_official143
1490246873,False,❤❤❤,sila._zaman
